"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1119","61402  >  19305 Len=1057"
"2","0.004087","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","167","61402  >  19305 Len=105"
"3","0.006888","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1119","61402  >  19305 Len=1057"
"4","0.012279","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1119","61402  >  19305 Len=1057"
"5","0.017550","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1120","61402  >  19305 Len=1058"
"6","0.021530","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","124","19305  >  61402 Len=62"
"7","0.023993","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","169","61402  >  19305 Len=107"
"8","0.028196","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","519","61402  >  19305 Len=457"
"9","0.030620","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1230","61402  >  19305 Len=1168"
"10","0.038058","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","116","61402  >  19305 Len=54"
"11","0.044112","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","169","61402  >  19305 Len=107"
"12","0.058968","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","592","61402  >  19305 Len=530"
"13","0.061486","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","870","61402  >  19305 Len=808"
"14","0.063838","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","871","61402  >  19305 Len=809"
"15","0.064059","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","166","61402  >  19305 Len=104"
"16","0.070533","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","132","19305  >  61402 Len=70"
"17","0.084134","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","173","61402  >  19305 Len=111"
"18","0.092331","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","820","61402  >  19305 Len=758"
"19","0.094431","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1040","61402  >  19305 Len=978"
"20","0.098032","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1041","61402  >  19305 Len=979"
"21","0.104708","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","162","61402  >  19305 Len=100"
"22","0.121494","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","124","19305  >  61402 Len=62"
"23","0.124091","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","158","61402  >  19305 Len=96"
"24","0.144191","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","159","61402  >  19305 Len=97"
"25","0.156794","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1221","61402  >  19305 Len=1159"
"26","0.156869","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1221","61402  >  19305 Len=1159"
"27","0.162728","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1170","61402  >  19305 Len=1108"
"28","0.163993","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","159","61402  >  19305 Len=97"
"29","0.166099","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1170","61402  >  19305 Len=1108"
"30","0.171965","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1170","61402  >  19305 Len=1108"
