"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","124","19305  >  43148 Len=62"
"2","0.002034579","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","180","43148  >  19305 Len=118"
"3","0.012086482","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","993","43148  >  19305 Len=931"
"4","0.017429654","2a03:2880:f0ff:e:face:b00c:0:2","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","114","Application Data"
"5","0.017475628","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a03:2880:f0ff:e:face:b00c:0:2","TCP","86","46666  >  443 [ACK] Seq=1 Ack=29 Win=2066 Len=0 TSval=925205175 TSecr=2187805819"
"6","0.019857628","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","175","43148  >  19305 Len=113"
"7","0.038628092","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","175","43148  >  19305 Len=113"
"8","0.052847704","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","124","19305  >  43148 Len=62"
"9","0.058165332","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","167","43148  >  19305 Len=105"
"10","0.076897505","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","1136","43148  >  19305 Len=1074"
"11","0.076960222","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","1136","43148  >  19305 Len=1074"
"12","0.076994464","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","1137","43148  >  19305 Len=1075"
"13","0.077214423","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","170","43148  >  19305 Len=108"
"14","0.100623819","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","184","43148  >  19305 Len=122"
"15","0.103847752","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","124","19305  >  43148 Len=62"
"16","0.121003653","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","180","43148  >  19305 Len=118"
"17","0.122301885","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","919","43148  >  19305 Len=857"
"18","0.144894307","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","171","43148  >  19305 Len=109"
