"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.84","142.250.82.70","UDP","871","56054  >  19305 Len=829"
"2","0.013966388","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"3","0.036767725","192.168.1.84","142.250.82.70","UDP","633","56054  >  19305 Len=591"
"4","0.063951245","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"5","0.070310014","192.168.1.84","142.250.82.70","UDP","1050","56054  >  19305 Len=1008"
"6","0.070370825","192.168.1.84","142.250.82.70","UDP","1050","56054  >  19305 Len=1008"
"7","0.110193018","192.168.1.84","142.250.82.70","UDP","529","56054  >  19305 Len=487"
"8","0.116537326","142.250.82.70","192.168.1.84","UDP","104","19305  >  56054 Len=62"
"9","0.139876242","192.168.1.84","142.250.82.70","UDP","155","56054  >  19305 Len=113"
"10","0.148391452","192.168.1.84","142.250.82.70","UDP","120","56054  >  19305 Len=78"
"11","0.162727760","192.168.1.84","142.250.82.70","UDP","81","56054  >  19305 Len=39"
"12","0.166716243","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"13","0.186236519","192.168.1.84","142.250.82.70","UDP","631","56054  >  19305 Len=589"
"14","0.210987805","192.168.1.84","142.250.82.70","UDP","496","56054  >  19305 Len=454"
"15","0.217480476","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"16","0.262236272","192.168.1.84","142.250.82.70","UDP","818","56054  >  19305 Len=776"
"17","0.262367021","192.168.1.84","142.250.82.70","UDP","819","56054  >  19305 Len=777"
"18","0.268588041","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"19","0.299889710","192.168.1.84","142.250.82.70","UDP","662","56054  >  19305 Len=620"
"20","0.320256383","142.250.82.70","192.168.1.84","UDP","100","19305  >  56054 Len=58"
"21","0.331678246","192.168.1.84","142.250.82.70","UDP","513","56054  >  19305 Len=471"
"22","0.368775186","192.168.1.84","142.250.82.70","UDP","333","56054  >  19305 Len=291"
