"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PtInovac_35:65:2f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:06:91:35:65:2f  Cost = 0  Port = 0x8001"
"2","0.229506","192.168.1.71","239.255.255.250","UDP","501","1065  >  8082 Len=459"
"3","1.211511","192.168.1.69","239.255.255.250","UDP","501","1069  >  8082 Len=459"
"4","2.000014","PtInovac_35:65:2f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:06:91:35:65:2f  Cost = 0  Port = 0x8001"
"5","2.143025","2a00:1450:4003:807::200a","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","TLSv1.2","159","Application Data"
"6","2.143270","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2a00:1450:4003:807::200a","TCP","86","49310  >  443 [ACK] Seq=1 Ack=74 Win=2048 Len=0 TSval=937429556 TSecr=2028151991"
"7","2.143358","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2a00:1450:4003:807::200a","TCP","86","49310  >  443 [FIN, ACK] Seq=1 Ack=74 Win=2048 Len=0 TSval=937429556 TSecr=2028151991"
"8","2.161798","2a00:1450:4003:807::200a","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","TCP","86","443  >  49310 [FIN, ACK] Seq=74 Ack=2 Win=290 Len=0 TSval=2028152009 TSecr=937429556"
"9","2.161912","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2a00:1450:4003:807::200a","TCP","86","49310  >  443 [ACK] Seq=2 Ack=75 Win=2048 Len=0 TSval=937429574 TSecr=2028152009"
"10","2.845921","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2a05:d01c:dc6:4402:61f3:ef98:4edd:cda4","TCP","74","49350  >  443 [ACK] Seq=1 Ack=1 Win=2070 Len=0"
"11","2.892533","2a05:d01c:dc6:4402:61f3:ef98:4edd:cda4","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","TCP","86","[TCP ACKed unseen segment] 443  >  49350 [ACK] Seq=1 Ack=2 Win=127 Len=0 TSval=3727856471 TSecr=937385171"
"12","3.229700","192.168.1.71","239.255.255.250","UDP","501","1065  >  8082 Len=459"
"13","4.000486","PtInovac_35:65:2f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:06:91:35:65:2f  Cost = 0  Port = 0x8001"
"14","4.211547","192.168.1.69","239.255.255.250","UDP","501","1069  >  8082 Len=459"
