"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::1","ff02::1","ICMPv6","118","Router Advertisement from 30:e9:8e:ec:27:d4"
"2","0.008236985","fe80::7a1f:e4d3:9143:d4d9","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"3","0.148272810","fe80::7a1f:e4d3:9143:d4d9","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"4","1.162546504","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:3775:b74b:1af3:355b","TLSv1.2","260","Application Model.Data"
"5","1.168881582","192.168.1.84","192.168.1.1","DNS","132","Standard query 0x5a65 PTR 1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"6","1.169017972","192.168.1.84","192.168.1.1","DNS","132","Standard query 0xc8db PTR 9.d.4.d.3.4.1.9.3.d.4.e.f.1.a.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"7","1.169082511","192.168.1.84","192.168.1.1","DNS","132","Standard query 0x9c33 PTR 6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"8","1.172700110","192.168.1.1","192.168.1.84","DNS","156","Standard query response 0x5a65 PTR 1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa PTR vodafonegw"
"9","1.172700686","192.168.1.1","192.168.1.84","DNS","132","Standard query response 0xc8db No such name PTR 9.d.4.d.3.4.1.9.3.d.4.e.f.1.a.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"10","1.173570451","192.168.1.1","192.168.1.84","DNS","132","Standard query response 0x9c33 No such name PTR 6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"11","1.202925002","2a05:d01c:dc6:4401:3775:b74b:1af3:355b","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","291","Application Model.Data"
"12","1.203009780","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:3775:b74b:1af3:355b","TCP","86","42026  >  443 [ACK] Seq=175 Ack=206 Win=500 Len=0 TSval=52104712 TSecr=748149646"
"13","1.374932638","192.168.1.84","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"14","1.580859481","129.159.81.58","192.168.1.84","TLSv1.2","112","Application Model.Data"
