"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"2","0.113453805","134.224.218.112","192.168.1.109","TLSv1.2","145","Application Data"
"3","0.113827392","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"4","0.238082987","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=80 Ack=51 Win=16 Len=0 TSval=3509047947 TSecr=2732734975"
"5","0.803126522","192.168.1.109","192.168.1.1","DNS","86","Standard query 0xb668 PTR 109.1.168.192.in-addr.arpa"
"6","0.803193356","192.168.1.109","192.168.1.1","DNS","88","Standard query 0x3ca9 PTR 112.218.224.134.in-addr.arpa"
"7","0.805697071","192.168.1.1","192.168.1.109","DNS","110","Standard query response 0xb668 PTR 109.1.168.192.in-addr.arpa PTR wtv-pc.lan"
"8","0.974327496","192.168.1.1","192.168.1.109","DNS","88","Standard query response 0x3ca9 No such name PTR 112.218.224.134.in-addr.arpa"
"9","1.016558409","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"10","1.349866235","192.168.1.109","134.224.218.112","WireGuard","123","Cookie Reply, receiver=0x0B7C571E"
"11","1.349898324","192.168.1.109","134.224.218.112","WireGuard","123","Cookie Reply, receiver=0x0B7C5710"
"12","1.466439114","134.224.218.112","192.168.1.109","WireGuard","123","Cookie Reply, receiver=0xD727D114"
"13","1.466705948","192.168.1.109","134.224.218.112","WireGuard","123","Transport Data, receiver=0xD727D114, counter=4613095118990147668, datalen=49"
"14","1.467330396","134.224.218.112","192.168.1.109","WireGuard","123","Cookie Reply, receiver=0xD727D120"
"15","1.467330949","134.224.218.112","192.168.1.109","WireGuard","123","Cookie Reply, receiver=0xD727D111"
"16","1.467495641","192.168.1.109","134.224.218.112","WireGuard","123","Transport Data, receiver=0xD727D120, counter=4613095252100579412, datalen=49"
"17","1.467603704","192.168.1.109","134.224.218.112","WireGuard","123","Transport Data, receiver=0xD727D111, counter=4613095432422096980, datalen=49"
"18","1.470703750","134.224.218.112","192.168.1.109","WireGuard","123","Transport Data, receiver=0x0B7C571E, counter=4613095252100579528, datalen=49"
"19","1.472040283","134.224.218.112","192.168.1.109","WireGuard","123","Transport Data, receiver=0x0B7C5710, counter=4613095432422097096, datalen=49"
"20","1.803696210","192.168.1.109","192.168.1.1","DNS","84","Standard query 0x315f PTR 1.1.168.192.in-addr.arpa"
"21","1.806363031","192.168.1.1","192.168.1.109","DNS","108","Standard query response 0x315f PTR 1.1.168.192.in-addr.arpa PTR vodafonegw"
"22","2.035451784","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"23","3.056713988","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"24","3.293853417","134.224.218.112","192.168.1.109","TLSv1.2","132","Application Data"
"25","3.293994852","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"26","3.418057103","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=146 Ack=101 Win=16 Len=0 TSval=3509051128 TSecr=2732738155"
"27","4.075626731","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"28","4.467387946","134.224.218.112","192.168.1.109","TLSv1.2","879","Application Data"
"29","4.467388593","134.224.218.112","192.168.1.109","TLSv1.2","161","Application Data"
"30","4.467678212","192.168.1.109","134.224.218.112","TCP","66","37280  >  443 [ACK] Seq=101 Ack=1054 Win=501 Len=0 TSval=2732739329 TSecr=3509052177"
"31","4.467866387","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"32","4.591438122","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=1054 Ack=151 Win=16 Len=0 TSval=3509052301 TSecr=2732739329"
"33","4.636422525","134.224.218.112","192.168.1.109","TLSv1.2","230","Application Data"
"34","4.636422742","134.224.218.112","192.168.1.109","TLSv1.2","147","Application Data"
"35","4.636537122","192.168.1.109","134.224.218.112","TCP","66","37280  >  443 [ACK] Seq=151 Ack=1299 Win=501 Len=0 TSval=2732739498 TSecr=3509052346"
"36","4.646714551","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"37","4.666155730","192.168.1.109","134.224.218.112","TLSv1.2","130","Application Data"
"38","4.666197192","192.168.1.109","134.224.218.112","TLSv1.2","142","Application Data"
"39","4.692319929","134.224.218.112","192.168.1.109","TLSv1.2","238","Application Data"
"40","4.692320338","134.224.218.112","192.168.1.109","TLSv1.2","142","Application Data"
"41","4.692320454","134.224.218.112","192.168.1.109","TLSv1.2","277","Application Data"
"42","4.692320549","134.224.218.112","192.168.1.109","TLSv1.2","147","Application Data"
"43","4.692584071","192.168.1.109","134.224.218.112","TCP","66","37280  >  443 [ACK] Seq=341 Ack=1839 Win=501 Len=0 TSval=2732739554 TSecr=3509052402"
"44","4.712961165","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"45","4.716854567","192.168.1.109","134.224.218.112","UDP","136","52479  >  8801 Len=94"
"46","4.716918825","192.168.1.109","134.224.218.112","TLSv1.2","254","Application Data"
"47","4.735358027","192.168.1.109","134.224.218.112","UDP","142","52479  >  8801 Len=100"
"48","4.748464794","192.168.1.109","134.224.218.112","TLSv1.2","155","Application Data"
"49","4.755443467","192.168.1.109","134.224.218.112","UDP","138","52479  >  8801 Len=96"
"50","4.770313677","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=1839 Ack=201 Win=16 Len=0 TSval=3509052480 TSecr=2732739508"
"51","4.778661191","192.168.1.109","134.224.218.112","UDP","139","52479  >  8801 Len=97"
"52","4.790980842","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=1839 Ack=265 Win=16 Len=0 TSval=3509052500 TSecr=2732739527"
"53","4.790981690","134.224.218.112","192.168.1.109","TLSv1.2","142","Application Data"
"54","4.791378864","192.168.1.109","134.224.218.112","TLSv1.2","116","Application Data"
"55","4.798320328","192.168.1.109","134.224.218.112","UDP","138","52479  >  8801 Len=96"
"56","4.818134601","192.168.1.109","134.224.218.112","UDP","136","52479  >  8801 Len=94"
"57","4.822368387","134.224.218.112","192.168.1.109","TLSv1.2","116","Application Data"
"58","4.839705614","134.224.218.112","192.168.1.109","UDP","165","8801  >  55809 Len=123"
"59","4.840388352","192.168.1.109","134.224.218.112","UDP","142","52479  >  8801 Len=100"
"60","4.841831941","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=1965 Ack=579 Win=16 Len=0 TSval=3509052551 TSecr=2732739574"
"61","4.859556591","192.168.1.109","134.224.218.112","UDP","142","52479  >  8801 Len=100"
"62","4.872476075","134.224.218.112","192.168.1.109","TLSv1.2","116","Application Data"
"63","4.872570504","192.168.1.109","134.224.218.112","TCP","66","37280  >  443 [ACK] Seq=718 Ack=2015 Win=501 Len=0 TSval=2732739734 TSecr=3509052532"
"64","4.881881783","192.168.1.109","134.224.218.112","UDP","139","52479  >  8801 Len=97"
"65","4.900024654","192.168.1.109","134.224.218.112","UDP","139","52479  >  8801 Len=97"
"66","4.920103192","192.168.1.109","134.224.218.112","UDP","138","52479  >  8801 Len=96"
"67","4.940878394","192.168.1.109","134.224.218.112","UDP","140","52479  >  8801 Len=98"
"68","4.958555254","192.168.1.109","134.224.218.112","UDP","138","52479  >  8801 Len=96"
"69","4.978148115","192.168.1.109","134.224.218.112","UDP","136","52479  >  8801 Len=94"
"70","4.982921806","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=2015 Ack=718 Win=16 Len=0 TSval=3509052693 TSecr=2732739652"
"71","4.997206875","192.168.1.109","134.224.218.112","UDP","142","52479  >  8801 Len=100"
"72","5.021224996","192.168.1.109","134.224.218.112","UDP","141","52479  >  8801 Len=99"
"73","5.041146344","192.168.1.109","134.224.218.112","UDP","138","52479  >  8801 Len=96"
"74","5.057316708","192.168.1.109","134.224.218.112","UDP","139","52479  >  8801 Len=97"
"75","5.077987920","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"76","5.078091675","192.168.1.109","134.224.218.112","UDP","145","52479  >  8801 Len=103"
"77","5.092899531","192.168.1.109","134.224.218.112","WireGuard","123","Cookie Reply, receiver=0x1A7C571F"
"78","5.092940656","192.168.1.109","134.224.218.112","WireGuard","123","Cookie Reply, receiver=0x1A7C5711"
"79","5.092959191","192.168.1.109","134.224.218.112","UDP","149","52479  >  8801 Len=107"
"80","5.113773226","192.168.1.109","134.224.218.112","UDP","135","52479  >  8801 Len=93"
"81","5.136440293","192.168.1.109","134.224.218.112","UDP","132","52479  >  8801 Len=90"
"82","5.143471138","134.224.218.112","192.168.1.109","UDP","116","8801  >  52479 Len=74"
"83","5.155336675","192.168.1.109","134.224.218.112","UDP","135","52479  >  8801 Len=93"
"84","5.174196985","192.168.1.109","134.224.218.112","UDP","132","52479  >  8801 Len=90"
"85","5.193743998","192.168.1.109","134.224.218.112","UDP","135","52479  >  8801 Len=93"
