"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","134.224.13.165","192.168.1.84","TLSv1.2","145","Application Model.Data"
"2","0.000083071","192.168.1.84","134.224.13.165","TCP","66","32838  >  443 [ACK] Seq=1 Ack=80 Win=501 Len=0 TSval=811285556 TSecr=3156656063"
"3","0.010487548","192.168.1.84","134.224.13.165","TLSv1.2","116","Application Model.Data"
"4","0.101529941","192.168.1.84","134.224.13.165","WireGuard","123","Cookie Reply, receiver=0x40C7580E"
"5","0.101701630","192.168.1.84","134.224.13.165","WireGuard","123","Cookie Reply, receiver=0x40C7580A"
"6","0.131177526","134.224.13.165","192.168.1.84","TCP","66","443  >  32838 [ACK] Seq=80 Ack=51 Win=16 Len=0 TSval=3156656195 TSecr=811285567"
"7","0.203198850","134.224.13.165","192.168.1.84","WireGuard","123","Cookie Reply, receiver=0xC026BC0C"
"8","0.203343355","192.168.1.84","134.224.13.165","WireGuard","123","Transport Model.Data, receiver=0xC026BC0C, counter=4613095518292148362, datalen=49"
"9","0.205481677","134.224.13.165","192.168.1.84","WireGuard","123","Cookie Reply, receiver=0xC026BC0F"
"10","0.205481927","134.224.13.165","192.168.1.84","WireGuard","123","Cookie Reply, receiver=0xC026BC10"
"11","0.205590905","192.168.1.84","134.224.13.165","WireGuard","123","Transport Model.Data, receiver=0xC026BC0F, counter=4613095509702213770, datalen=49"
"12","0.205650052","192.168.1.84","134.224.13.165","WireGuard","123","Transport Model.Data, receiver=0xC026BC10, counter=4613095513997181066, datalen=49"
"13","0.224765635","134.224.13.165","192.168.1.84","WireGuard","123","Transport Model.Data, receiver=0x40C7580A, counter=4613095518292148410, datalen=49"
"14","0.225689565","134.224.13.165","192.168.1.84","WireGuard","123","Transport Model.Data, receiver=0x40C7580E, counter=4613095513997181114, datalen=49"
"15","0.419287967","192.168.1.84","134.224.13.165","UDP","106","48203  >  8801 Len=64"
"16","0.575526148","192.168.1.84","192.168.1.1","DNS","87","Standard query 0xd5a7 PTR 165.13.224.134.in-addr.arpa"
"17","0.575554392","192.168.1.84","192.168.1.1","DNS","85","Standard query 0x8751 PTR 84.1.168.192.in-addr.arpa"
