"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.84","18.159.95.247","DTLSv1.2","259","Application Data"
"2","0.007285422","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"3","0.027853751","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"4","0.041996611","192.168.1.84","18.159.95.247","DTLSv1.2","259","Application Data"
"5","0.042067123","192.168.1.84","18.159.95.247","DTLSv1.2","255","Application Data"
"6","0.047062934","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"7","0.084237298","192.168.1.84","18.159.95.247","DTLSv1.2","263","Application Data"
"8","0.089144817","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"9","0.089145692","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"10","0.091670399","192.168.1.84","18.159.95.247","DTLSv1.2","251","Application Data"
"11","0.096489823","192.168.1.84","18.159.95.247","DTLSv1.2","243","Application Data"
"12","0.119707358","192.168.1.84","18.159.95.247","DTLSv1.2","235","Application Data"
"13","0.131594950","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"14","0.139061692","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"15","0.143148945","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"16","0.166965844","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"17","0.176000607","192.168.1.84","18.159.95.247","TLSv1.2","356","Application Data"
"18","0.223215848","18.159.95.247","192.168.1.84","TCP","66","443  >  58868 [ACK] Seq=1 Ack=291 Win=850 Len=0 TSval=3043563053 TSecr=4087643587"
"19","0.243943499","192.168.1.84","18.159.95.247","DTLSv1.2","183","Application Data"
"20","0.246566509","192.168.1.84","18.159.95.247","DTLSv1.2","267","Application Data"
"21","0.250477906","192.168.1.84","18.159.95.247","DTLSv1.2","275","Application Data"
"22","0.280049726","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Data"
"23","0.291323602","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"24","0.293136370","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"25","0.297327680","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"26","0.299512599","192.168.1.84","18.159.95.247","DTLSv1.2","379","Application Data"
"27","0.327214756","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"28","0.339269271","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Data"
"29","0.339911922","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Data"
"30","0.340488464","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Data"
"31","0.346730818","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"32","0.368077616","18.159.95.247","192.168.1.84","TLSv1.2","98","Application Data"
"33","0.368132012","192.168.1.84","18.159.95.247","TCP","66","58876  >  443 [ACK] Seq=1 Ack=33 Win=501 Len=0 TSval=4087643779 TSecr=3043563198"
"34","0.368592872","192.168.1.84","18.159.95.247","TLSv1.2","102","Application Data"
"35","0.379687975","192.168.1.84","18.159.95.247","DTLSv1.2","419","Application Data"
"36","0.385805147","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"37","0.386757768","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"38","0.386758250","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"39","0.405229003","192.168.1.84","18.159.95.247","DTLSv1.2","403","Application Data"
"40","0.416238545","18.159.95.247","192.168.1.84","TCP","66","443  >  58876 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3043563245 TSecr=4087643780"
"41","0.424269480","192.168.1.84","18.159.95.247","DTLSv1.2","395","Application Data"
"42","0.426757212","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"43","0.446552024","192.168.1.84","18.159.95.247","DTLSv1.2","387","Application Data"
"44","0.451852711","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"45","0.470558973","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"46","0.486209940","192.168.1.84","18.159.95.247","DTLSv1.2","375","Application Data"
"47","0.492692635","192.168.1.84","18.159.95.247","DTLSv1.2","391","Application Data"
"48","0.493566131","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"49","0.526511251","192.168.1.84","18.159.95.247","DTLSv1.2","399","Application Data"
"50","0.533724653","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"51","0.537936472","192.168.1.84","18.159.95.247","DTLSv1.2","235","Application Data"
"52","0.539925338","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"53","0.544275912","192.168.1.84","18.159.95.247","DTLSv1.2","231","Application Data"
"54","0.560489205","192.168.1.84","18.159.95.247","DTLSv1.2","379","Application Data"
"55","0.573409385","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"56","0.579723377","192.168.1.84","18.159.95.247","DTLSv1.2","383","Application Data"
"57","0.579791779","192.168.1.84","18.159.95.247","DTLSv1.2","143","Application Data"
"58","0.584527448","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"59","0.592300944","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"60","0.607839645","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"61","0.619712901","192.168.1.84","18.159.95.247","DTLSv1.2","243","Application Data"
"62","0.620652163","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Data"
"63","0.621683147","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Data"
"64","0.626966320","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
"65","0.626966605","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Data"
