"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"2","0.000125","192.168.1.79","18.159.220.26","TCP","66","49429  >  443 [ACK] Seq=1 Ack=33 Win=2048 Len=0 TSval=938426261 TSecr=3092151442"
"3","0.000444","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"4","0.045946","18.159.220.26","192.168.1.79","TCP","66","443  >  49429 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3092151487 TSecr=938426261"
"5","0.220028","192.168.1.71","239.255.255.250","UDP","501","1065  >  8082 Len=459"
"6","0.512953","192.168.1.66","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"7","0.884516","18.159.220.26","192.168.1.79","DTLSv1.2","103","Application Data"
"8","0.884967","192.168.1.79","18.159.220.26","DTLSv1.2","103","Application Data"
"9","0.909740","18.159.220.26","192.168.1.79","DTLSv1.2","103","Application Data"
"10","0.910246","192.168.1.79","18.159.220.26","DTLSv1.2","103","Application Data"
"11","0.955028","18.159.220.26","192.168.1.79","DTLSv1.2","111","Application Data"
"12","1.171680","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"13","1.178327","PtInovac_35:65:2f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:06:91:35:65:2f  Cost = 0  Port = 0x8001"
"14","1.357190","192.168.1.79","18.159.220.26","STUN","206","Binding Request user: 8747A57E-1AEA-887A-04A5-9D9245BF4C99:FD4570FF-83E1-302B-71D0-068E6107D490"
"15","1.405624","192.168.1.79","18.159.220.26","STUN","206","Binding Request user: FD4C6A7F-A845-5C72-31ED-95C1C66405BF:FD4570FF-83E1-302B-71D0-068E6107D490"
"16","1.407005","18.159.220.26","192.168.1.79","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 188.250.85.250:8466"
"17","1.409759","18.159.220.26","192.168.1.79","TLSv1.2","106","Application Data"
"18","1.409855","192.168.1.79","18.159.220.26","TCP","66","49426  >  443 [ACK] Seq=1 Ack=41 Win=2047 Len=0 TSval=938427663 TSecr=3092152851"
"19","1.409964","192.168.1.79","18.159.220.26","TLSv1.2","110","Application Data"
"20","1.450974","18.159.220.26","192.168.1.79","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 188.250.85.250:8466"
"21","1.455619","18.159.220.26","192.168.1.79","TCP","66","443  >  49426 [ACK] Seq=41 Ack=45 Win=644 Len=0 TSval=3092152896 TSecr=938427663"
"22","1.561757","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"23","1.561897","192.168.1.79","18.159.220.26","TCP","66","49427  >  443 [ACK] Seq=1 Ack=33 Win=2048 Len=0 TSval=938427814 TSecr=3092153004"
"24","1.562370","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"25","1.608180","18.159.220.26","192.168.1.79","TCP","66","443  >  49427 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3092153049 TSecr=938427814"
"26","1.764194","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"27","1.764364","192.168.1.79","18.159.220.26","TCP","66","49432  >  443 [ACK] Seq=1 Ack=33 Win=2048 Len=0 TSval=938428014 TSecr=3092153207"
"28","1.764829","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"29","1.808770","18.159.220.26","192.168.1.79","TCP","66","443  >  49432 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3092153251 TSecr=938428014"
"30","2.169647","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"31","2.169743","192.168.1.79","18.159.220.26","TCP","66","49431  >  443 [ACK] Seq=1 Ack=33 Win=2047 Len=0 TSval=938428415 TSecr=3092153612"
"32","2.170458","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"33","2.215523","18.159.220.26","192.168.1.79","TCP","66","443  >  49431 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3092153657 TSecr=938428415"
"34","2.429388","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"35","2.429488","192.168.1.79","18.159.220.26","TCP","66","49428  >  443 [ACK] Seq=1 Ack=33 Win=2048 Len=0 TSval=938428672 TSecr=3092153871"
"36","2.447042","192.168.1.66","192.168.1.255","UDP","77","35832  >  15600 Len=35"
"37","2.515179","192.168.1.66","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"38","2.938389","192.168.1.69","239.255.255.250","UDP","924","1069  >  8082 Len=882"
"39","3.155024","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"40","3.155144","192.168.1.79","18.159.220.26","TCP","66","49430  >  443 [ACK] Seq=1 Ack=33 Win=2048 Len=0 TSval=938429396 TSecr=3092154597"
"41","3.155441","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"42","3.179035","PtInovac_35:65:2f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:06:91:35:65:2f  Cost = 0  Port = 0x8001"
"43","3.200449","18.159.220.26","192.168.1.79","TCP","66","443  >  49430 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3092154642 TSecr=938429396"
"44","3.250075","192.168.1.71","239.255.255.250","UDP","501","1065  >  8082 Len=459"
"45","3.661536","18.159.220.26","192.168.1.79","TLSv1.2","102","Application Data"
"46","3.661743","192.168.1.79","18.159.220.26","TCP","66","49430  >  443 [ACK] Seq=37 Ack=69 Win=2048 Len=0 TSval=938429900 TSecr=3092155104"
"47","3.664371","18.159.220.26","192.168.1.79","TLSv1.2","102","Application Data"
"48","3.664521","192.168.1.79","18.159.220.26","TCP","66","49432  >  443 [ACK] Seq=37 Ack=69 Win=2048 Len=0 TSval=938429902 TSecr=3092155107"
"49","3.684849","18.159.220.26","192.168.1.79","TLSv1.2","102","Application Data"
"50","3.684988","192.168.1.79","18.159.220.26","TCP","66","49427  >  443 [ACK] Seq=37 Ack=69 Win=2048 Len=0 TSval=938429922 TSecr=3092155127"
"51","3.685642","18.159.220.26","192.168.1.79","TLSv1.2","102","Application Data"
"52","3.685684","192.168.1.79","18.159.220.26","TCP","66","49431  >  443 [ACK] Seq=37 Ack=69 Win=2047 Len=0 TSval=938429922 TSecr=3092155128"
"53","3.692660","18.159.220.26","192.168.1.79","TLSv1.2","102","Application Data"
